arm,arm_label,seed,learning_rule,update,train_reward,welfare,join_rate,success_rate,message_norm,hidden_norm,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability
no_comm,No Messages,1,ppo,72.0,0.3852539360523224,0.3852539360523224,0.7629883289337158,0.5494791865348816,0.0,0.0,,,
no_comm,No Messages,1,ppo,84.0,0.3945328891277313,0.3945328891277313,0.7610026597976685,0.5538737177848816,0.0,0.0,,,
no_comm,No Messages,1,ppo,96.0,0.39507004618644714,0.39507004618644714,0.7559896111488342,0.552734375,0.0,0.0,,,
no_comm,No Messages,1,ppo,108.0,0.3968229293823242,0.3968229293823242,0.766308605670929,0.5564778447151184,0.0,0.0,,,
no_comm,No Messages,1,ppo,120.0,0.3856266140937805,0.3856266438961029,0.7574544548988342,0.5462239384651184,0.0,0.0,,,
no_comm,No Messages,2,ppo,1.0,-0.04129394516348839,-0.041293952614068985,0.4863281548023224,0.3297525942325592,0.0,0.0,,,
no_comm,No Messages,2,ppo,12.0,0.35679852962493896,0.35679852962493896,0.7127929925918579,0.5234375,0.0,0.0,,,
no_comm,No Messages,2,ppo,24.0,0.3810335397720337,0.3810335397720337,0.7393880486488342,0.54052734375,0.0,0.0,,,
no_comm,No Messages,2,ppo,36.0,0.38739097118377686,0.38739097118377686,0.754101574420929,0.5485026240348816,0.0,0.0,,,
no_comm,No Messages,2,ppo,48.0,0.3714127838611603,0.3714127838611603,0.7526041865348816,0.5372721552848816,0.0,0.0,,,
no_comm,No Messages,2,ppo,60.0,0.37906089425086975,0.37906089425086975,0.7636393904685974,0.5458984375,0.0,0.0,,,
no_comm,No Messages,2,ppo,72.0,0.3968815505504608,0.3968815505504608,0.7690430283546448,0.5582682490348816,0.0,0.0,,,
no_comm,No Messages,2,ppo,84.0,0.3820393979549408,0.3820393979549408,0.7642903923988342,0.54833984375,0.0,0.0,,,
no_comm,No Messages,2,ppo,96.0,0.3964550793170929,0.3964550793170929,0.7652018666267395,0.5558268427848816,0.0,0.0,,,
