arm,arm_label,seed,train_samples,auditor_content_balanced_accuracy,n_test,chance_accuracy
visible_bottleneck,Public Only,3,250,0.8770097438146749,12000,0.3333333333333333
visible_bottleneck,Public Only,3,500,0.8978027238627652,12000,0.3333333333333333
visible_bottleneck,Public Only,3,1000,0.9185405709259444,12000,0.3333333333333333
visible_bottleneck,Public Only,3,2000,0.9283639302733121,12000,0.3333333333333333
visible_bottleneck,Public Only,3,5000,0.9327102125155715,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,25,0.6770186335403726,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,50,0.7142857142857143,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,100,0.73992673992674,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,250,0.8964377449059745,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,500,0.9217946911456482,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,1000,0.9346355980159241,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,2000,0.9575122957995874,12000,0.3333333333333333
asymmetric_free,Private Allowed,0,5000,0.9709542416785087,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,25,0.6564906179020661,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,50,0.7070475504627093,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,100,0.763284503518829,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,250,0.8254493700598332,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,500,0.8696540717192686,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,1000,0.8828639385026387,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,2000,0.9079596215785837,12000,0.3333333333333333
asymmetric_free,Private Allowed,1,5000,0.9216999323738713,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,25,0.6583099232078916,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,50,0.6797436737917378,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,100,0.7591712984873876,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,250,0.7948644503355468,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,500,0.8300534398507389,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,1000,0.8591757806229897,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,2000,0.8775469876999159,12000,0.3333333333333333
asymmetric_free,Private Allowed,2,5000,0.889227556030649,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,25,0.6578456398958616,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,50,0.7126267345944429,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,100,0.774645464601908,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,250,0.83770956373111,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,500,0.8714531798028972,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,1000,0.8906796465540242,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,2000,0.904554283960702,12000,0.3333333333333333
asymmetric_free,Private Allowed,3,5000,0.9153784118312324,12000,0.3333333333333333
public_monitored,Public Monitored,0,25,0.640405760000932,12000,0.3333333333333333
public_monitored,Public Monitored,0,50,0.6670108919891194,12000,0.3333333333333333
public_monitored,Public Monitored,0,100,0.7170665603191865,12000,0.3333333333333333
public_monitored,Public Monitored,0,250,0.764822534426513,12000,0.3333333333333333
public_monitored,Public Monitored,0,500,0.7867090023357174,12000,0.3333333333333333
public_monitored,Public Monitored,0,1000,0.8010777732644416,12000,0.3333333333333333
public_monitored,Public Monitored,0,2000,0.8134195094696882,12000,0.3333333333333333
public_monitored,Public Monitored,0,5000,0.8305029132976074,12000,0.3333333333333333
public_monitored,Public Monitored,1,25,0.6489388629629415,12000,0.3333333333333333
public_monitored,Public Monitored,1,50,0.7179469666402446,12000,0.3333333333333333
public_monitored,Public Monitored,1,100,0.7967429621457156,12000,0.3333333333333333
public_monitored,Public Monitored,1,250,0.8444777812420474,12000,0.3333333333333333
public_monitored,Public Monitored,1,500,0.844607064829086,12000,0.3333333333333333
public_monitored,Public Monitored,1,1000,0.8665270626014777,12000,0.3333333333333333
public_monitored,Public Monitored,1,2000,0.8611494492953599,12000,0.3333333333333333
public_monitored,Public Monitored,1,5000,0.8714119669218525,12000,0.3333333333333333
public_monitored,Public Monitored,2,25,0.6200187910027041,12000,0.3333333333333333
public_monitored,Public Monitored,2,50,0.6394034709921987,12000,0.3333333333333333
public_monitored,Public Monitored,2,100,0.6375312263895071,12000,0.3333333333333333
public_monitored,Public Monitored,2,250,0.6691431309225858,12000,0.3333333333333333
public_monitored,Public Monitored,2,500,0.724305346070199,12000,0.3333333333333333
public_monitored,Public Monitored,2,1000,0.7603387149280013,12000,0.3333333333333333
public_monitored,Public Monitored,2,2000,0.7773056457370835,12000,0.3333333333333333
public_monitored,Public Monitored,2,5000,0.7831697950376318,12000,0.3333333333333333
public_monitored,Public Monitored,3,25,0.6585912892364506,12000,0.3333333333333333
public_monitored,Public Monitored,3,50,0.7039175983198754,12000,0.3333333333333333
public_monitored,Public Monitored,3,100,0.7698325762367508,12000,0.3333333333333333
public_monitored,Public Monitored,3,250,0.8197717438229772,12000,0.3333333333333333
public_monitored,Public Monitored,3,500,0.8396548844366681,12000,0.3333333333333333
public_monitored,Public Monitored,3,1000,0.8512945712661083,12000,0.3333333333333333
public_monitored,Public Monitored,3,2000,0.8601030408905173,12000,0.3333333333333333
public_monitored,Public Monitored,3,5000,0.8648372219529715,12000,0.3333333333333333
private_monitored,Private Monitored,0,25,0.6431912214427055,12000,0.3333333333333333
private_monitored,Private Monitored,0,50,0.6656772800863465,12000,0.3333333333333333
private_monitored,Private Monitored,0,100,0.6666666666666666,12000,0.3333333333333333
private_monitored,Private Monitored,0,250,0.7636246669921792,12000,0.3333333333333333
private_monitored,Private Monitored,0,500,0.7904761904761904,12000,0.3333333333333333
private_monitored,Private Monitored,0,1000,0.8498889831161822,12000,0.3333333333333333
private_monitored,Private Monitored,0,2000,0.916567696310957,12000,0.3333333333333333
private_monitored,Private Monitored,0,5000,0.9466911988989078,12000,0.3333333333333333
private_monitored,Private Monitored,1,25,0.6578175827136001,12000,0.3333333333333333
private_monitored,Private Monitored,1,50,0.718187956818125,12000,0.3333333333333333
private_monitored,Private Monitored,1,100,0.7565895687318923,12000,0.3333333333333333
private_monitored,Private Monitored,1,250,0.8352950569304856,12000,0.3333333333333333
private_monitored,Private Monitored,1,500,0.8799310353142052,12000,0.3333333333333333
private_monitored,Private Monitored,1,1000,0.8683819799131816,12000,0.3333333333333333
private_monitored,Private Monitored,1,2000,0.8783600989039387,12000,0.3333333333333333
private_monitored,Private Monitored,1,5000,0.8763186957165021,12000,0.3333333333333333
private_monitored,Private Monitored,2,25,0.47898416069374394,12000,0.3333333333333333
private_monitored,Private Monitored,2,50,0.5355475848662574,12000,0.3333333333333333
private_monitored,Private Monitored,2,100,0.5466848289821512,12000,0.3333333333333333
private_monitored,Private Monitored,2,250,0.5490188070490699,12000,0.3333333333333333
private_monitored,Private Monitored,2,500,0.550284009819466,12000,0.3333333333333333
private_monitored,Private Monitored,2,1000,0.5468634953196659,12000,0.3333333333333333
private_monitored,Private Monitored,2,2000,0.5497467246058346,12000,0.3333333333333333
private_monitored,Private Monitored,2,5000,0.548767564286173,12000,0.3333333333333333
private_monitored,Private Monitored,3,25,0.6273024777933615,12000,0.3333333333333333
private_monitored,Private Monitored,3,50,0.6666666666666666,12000,0.3333333333333333
private_monitored,Private Monitored,3,100,0.6614305750350632,12000,0.3333333333333333
private_monitored,Private Monitored,3,250,0.7159545527284367,12000,0.3333333333333333
private_monitored,Private Monitored,3,500,0.8079009107095284,12000,0.3333333333333333
private_monitored,Private Monitored,3,1000,0.8573074356693705,12000,0.3333333333333333
private_monitored,Private Monitored,3,2000,0.8841089637455597,12000,0.3333333333333333
private_monitored,Private Monitored,3,5000,0.9143068949938021,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,25,0.7161206310876395,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,50,0.7556234993854214,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,100,0.7296439029460561,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,250,0.7724853653817512,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,500,0.7629117283371594,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,1000,0.7683725381062331,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,2000,0.7639461895187544,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,0,5000,0.7686616964071876,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,25,0.5185640415469348,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,50,0.5452235499942815,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,100,0.5610253275200864,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,250,0.654381089344942,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,500,0.6683020891412191,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,1000,0.6743419553632698,12000,0.3333333333333333
monitored_penalty,Monitored + Penalty,1,2000,0.6754904368691742,12000,0.3333333333333333
