arm,arm_label,seed,shift,shift_label,sigma,theta_low,theta_high,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
asymmetric_free,Private Allowed,1,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.4389740228652954,0.13337400555610657,0.30560001730918884,0.5345999598503113,0.4797999858856201,1.7507740259170532,2.3800289630889893,0.5761661762672623,0.042461052536964417,0.11248864978551865,0.11247999966144562,0.018814573447091143,0.012976098390262703,0.005749733971096058,,,,0.9771421091884923,0.9583275357414012,0.9596968965483778,0.9701395173141955
asymmetric_free,Private Allowed,2,train_distribution,Training world,0.35,-0.2,1.8,0.5551339983940125,0.29492199420928955,0.2602120041847229,0.6327999830245972,0.5884000062942505,0.9086353182792664,2.847456216812134,0.7580902089871046,0.11569324135780334,0.2734488248825073,0.27324000000953674,0.09489501375249099,0.03010477020434088,0.02469282171567252,,,,0.992939357794187,0.898044344041696,0.8961304229265221,0.9878442167308489
asymmetric_free,Private Allowed,2,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5618079900741577,0.27666598558425903,0.2851420044898987,0.623479962348938,0.5881999731063843,0.9009924530982971,2.8193812370300293,0.7578220554862544,0.09178183972835541,0.288912296295166,0.28812000155448914,0.0819203092632188,0.02617085775591388,0.023358921191746623,,,,0.9926575585367705,0.9107372492735517,0.9066329159488417,0.9892783494443895
asymmetric_free,Private Allowed,2,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.4973759949207306,0.24278999865055084,0.25458599627017975,0.6139599680900574,0.5490000247955322,0.9186673164367676,2.8838694095611572,0.7584067209250489,0.16490009427070618,0.2889047861099243,0.28883999586105347,0.08341402211686633,0.04198125478495429,0.021236041923525222,,,,0.9933155511891364,0.9099015290722701,0.9134234314659858,0.989232944782415
asymmetric_free,Private Allowed,2,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.6215620040893555,0.4567239582538605,0.164838045835495,0.7874000072479248,0.6926000118255615,0.9208152294158936,2.571793794631958,0.7363531895280135,0.15306492149829865,0.2216249406337738,0.22111999988555908,0.08759636607218102,0.025230922545742995,0.014439213805628974,,,,0.9908620436705625,0.9032656775983815,0.9031082592800953,0.9869514075114042
asymmetric_free,Private Allowed,2,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.4372159540653229,0.12017800658941269,0.3170379474759102,0.5256400108337402,0.47519999742507935,0.9500992894172668,2.842475652694702,0.7494843730396569,0.12901316583156586,0.3110824227333069,0.31068000197410583,0.07890976576729969,0.04090206929260887,0.025017390174669533,,,,0.9889244164481462,0.9100146506808465,0.9126767726191533,0.9889046348904063
asymmetric_free,Private Allowed,3,train_distribution,Training world,0.35,-0.2,1.8,0.5362359881401062,0.26113197207450867,0.27510401606559753,0.6213600039482117,0.5726000070571899,1.4088287353515625,2.5274930000305176,0.6420951258409231,0.058576393872499466,0.2057691216468811,0.205719992518425,0.043116590238094665,0.016114601200964862,0.01186154713355458,,,,0.9825561015457484,0.9394395113076537,0.9377362392750834,0.9844049738471122
asymmetric_free,Private Allowed,3,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5574279427528381,0.2959800064563751,0.261447936296463,0.6360399723052979,0.5910000205039978,1.4055449962615967,2.5230555534362793,0.6422275620844964,0.032544709742069244,0.18914781510829926,0.1892399936914444,0.045152841702679525,0.008508747199431399,0.011805117281086436,,,,0.9810781661206277,0.9359253244179482,0.9361538800123945,0.9835390976588987
asymmetric_free,Private Allowed,3,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.517408013343811,0.2650359869003296,0.25237202644348145,0.635159969329834,0.5690000057220459,1.4419339895248413,2.5739190578460693,0.6409395531868769,0.0976095199584961,0.21611061692237854,0.2154799997806549,0.047786383944923516,0.024633912352101106,0.012059946552586595,,,,0.9855489647142376,0.9377625807693141,0.9316873247260894,0.9845703209307134
asymmetric_free,Private Allowed,3,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.6495260000228882,0.5053119659423828,0.14421403408050537,0.8048399686813354,0.7161999940872192,1.285402774810791,2.310736894607544,0.6425603861435389,0.09375599026679993,0.17094142735004425,0.17159999907016754,0.05353593226760012,0.013520929575587814,0.007720632760571311,,,,0.9842261972927117,0.9306902650251115,0.9250014509618415,0.984790868579913
