arm,arm_label,sender_seed,receiver_seed,self_play,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
public_monitored,Public Monitored,1,1,True,0.532371997833252,0.26491600275039673,0.2674559950828552,0.6241599917411804,0.5716000199317932,2.8724918365478516,0.30289748311042786,0.09538908543756905,5.862981211635088e-09,1.7969775001347443e-08,0.0,0.043006714532312196,1.5680894741099466e-09,0.011502403630483849,0.8017600178718567,0.730716347694397,0.8988619613102228,0.8558552467779106,0.8510016579832875,0.8708675945262075
public_monitored,Public Monitored,1,2,False,-0.24711200594902039,0.11615199595689774,-0.3632640019059181,0.32624000310897827,0.09799999743700027,2.8749561309814453,0.3000626564025879,0.09450736404927418,2.071899096733887e-08,3.934244574566037e-08,0.0,0.037634850191544666,0.0,0.0,0.7920799851417542,0.7216220498085022,0.9045808354971779,0.8669459853056333,0.8711385139650903,0.8788305519286935
public_monitored,Public Monitored,1,3,False,-0.26829999685287476,0.13716000318527222,-0.405460000038147,0.3593599796295166,0.10199999809265137,2.860764265060425,0.30122414231300354,0.09526415138353453,1.95046663264975e-08,3.811992499436201e-08,0.0,0.04646110336889975,0.0,0.0,0.7928000092506409,0.7278368473052979,0.9068848406108841,0.8604237372419844,0.8570154617237438,0.8675363271021005
public_monitored,Public Monitored,2,0,False,0.506947934627533,0.2614639699459076,0.24548396468162537,0.6361599564552307,0.5619999766349792,2.9199023246765137,0.37120693922042847,0.11279082809328826,5.490429444421352e-09,1.502543334197526e-08,0.0,0.17146959544337403,1.3478123878212871e-09,0.042093036111793825,0.7547199726104736,0.6793995499610901,0.9493375968325243,0.7778680013891502,0.7853318152288029,0.9356510662972345
public_monitored,Public Monitored,2,1,False,-0.22203198075294495,0.10870800167322159,-0.33073998242616653,0.29231998324394226,0.09600000083446503,2.9241867065429688,0.3716557025909424,0.11276501011121066,1.4367614653565397e-08,3.569278916870644e-08,0.0,0.17264730074153334,0.0,0.0,0.7447999715805054,0.670337975025177,0.954143428844925,0.7814961281033916,0.7877913214671008,0.9421585667821756
public_monitored,Public Monitored,2,2,True,0.541763961315155,0.2782079875469208,0.26355597376823425,0.6480799913406372,0.5879999995231628,2.9227049350738525,0.37143734097480774,0.11275692117960025,6.24072526989039e-09,1.571505947595142e-08,0.0,0.1832254733054527,1.6447804255259883e-09,0.0482901680361642,0.7472000122070312,0.6690043807029724,0.9611799104617567,0.777954437156304,0.7740738027971922,0.9330512887018622
public_monitored,Public Monitored,2,3,False,0.5342439413070679,0.2701840102672577,0.2640599310398102,0.64055997133255,0.5799999833106995,2.9360880851745605,0.37312161922454834,0.11275248550387662,5.885409049000145e-09,1.6203422603666695e-08,0.0,0.1774648151367919,1.5541007076200532e-09,0.046861346847013936,0.7480800151824951,0.6723467111587524,0.9552875154726698,0.7778227003358779,0.7756124443610256,0.9277828606826665
public_monitored,Public Monitored,3,0,False,0.5285919904708862,0.261135995388031,0.2674559950828552,0.6472799777984619,0.579200029373169,2.854879856109619,0.2759664058685303,0.08814434909179078,6.656806217364419e-09,1.8363792264608492e-08,0.0,0.03195599853050324,1.7804027309389382e-09,0.008546823385842003,0.774399995803833,0.7027319669723511,0.8911968030072638,0.8592408044767605,0.8684172269661977,0.8535036601790301
public_monitored,Public Monitored,3,1,False,-0.26476800441741943,0.1434279978275299,-0.40819600224494934,0.3511999845504761,0.10360000282526016,2.8707950115203857,0.27920740842819214,0.08863720442244932,1.3499012574413882e-08,3.047392738153576e-08,0.0,0.03112069781170612,0.0,0.0,0.7771999835968018,0.7076734900474548,0.9028239770736874,0.8717032792619813,0.8650615750675463,0.8589012015457015
public_monitored,Public Monitored,3,2,False,0.5424320101737976,0.27492401003837585,0.26750800013542175,0.6322399973869324,0.5807999968528748,2.884021759033203,0.27988189458847046,0.08846094104923005,6.192323542819622e-09,1.5054537172431992e-08,0.0,0.02881288410188043,1.6564960871311668e-09,0.007707677004227722,0.7712799906730652,0.6993861198425293,0.895397703552039,0.8665848194501585,0.8723821129011865,0.8709990095229534
public_monitored,Public Monitored,3,3,True,0.5269280076026917,0.2745159864425659,0.25241202116012573,0.647599995136261,0.579200029373169,2.8746702671051025,0.27795737981796265,0.08816689154180526,6.778236638638191e-09,1.783004677236022e-08,0.0,0.020457912968218195,1.7109084098602826e-09,0.0051638231610259015,0.7660800218582153,0.6986122727394104,0.8905970165128125,0.8701391035445943,0.8660319283605001,0.8640684961647812
private_monitored,Private Monitored,0,0,True,0.5450640320777893,0.27202796936035156,0.27303606271743774,0.6236000061035156,0.5784000158309937,0.5283119678497314,2.6836042404174805,0.8355150216901988,0.11659025400876999,0.29905515909194946,0.3001599907875061,0.035913251086895914,0.03183334390578052,0.009805612676148802,0.5173599720001221,0.40267321467399597,0.9874180113816449,0.951504760294749,0.9572026981949454,0.9830222014476506
private_monitored,Private Monitored,0,1,False,-0.25829198956489563,0.2620280086994171,-0.5203199982643127,0.3739199936389923,0.1143999993801117,0.5229042172431946,2.6863560676574707,0.8370639428333624,0.6838962435722351,0.6128460168838501,0.6204800009727478,0.025501065975489734,0.0,0.0,0.5156800150871277,0.40168407559394836,0.9847900370886445,0.9592889711131548,0.955591679819467,0.98155116741624
private_monitored,Private Monitored,0,2,False,0.4777320325374603,0.391791969537735,0.08594006299972534,0.6729599833488464,0.5627999901771545,0.5269150733947754,2.6784508228302,0.8356146878534728,0.08235041052103043,0.11029412597417831,0.1085599958896637,0.021529342023194342,0.007077199468230599,0.001850233009815956,0.5271999835968018,0.40463709831237793,0.9841067644496041,0.9625774224264098,0.9644585444966083,0.9821964577910925
private_monitored,Private Monitored,0,3,False,-0.23575998842716217,0.18142397701740265,-0.4171839654445648,0.3158400058746338,0.1096000000834465,0.5263146162033081,2.6852164268493652,0.8361172259748648,0.7791979312896729,0.5620318651199341,0.5638399720191956,0.020311456300394215,0.0,0.0,0.5052000284194946,0.39890506863594055,0.9819244979383249,0.9616130416379307,0.955973252126238,0.984843986852083
private_monitored,Private Monitored,1,0,False,-0.27712002396583557,0.23239198327064514,-0.5095120072364807,0.3928000032901764,0.11240000277757645,0.6302866339683533,2.702653646469116,0.8108917109413001,0.6937626600265503,0.6029597520828247,0.6041600108146667,0.085915864028144,0.0,0.0,0.5280799865722656,0.43552929162979126,0.9651408746731667,0.8792250106450227,0.8886118195011773,0.9700946295631484
private_monitored,Private Monitored,1,1,True,0.5236160159111023,0.25026801228523254,0.27334800362586975,0.6144799590110779,0.5631999969482422,0.6298766732215881,2.691206216812134,0.8103399722085249,0.16487795114517212,0.2995818853378296,0.2994399964809418,0.0803980631218022,0.045069058787456484,0.021976650049731292,0.5291200280189514,0.436213880777359,0.9693486571709689,0.8889505940491667,0.8820482161978958,0.9694247987186547
private_monitored,Private Monitored,1,2,False,-0.2914840281009674,0.23859599232673645,-0.5300800204277039,0.3991200029850006,0.10760000348091125,0.6257910132408142,2.693843364715576,0.81148797066439,0.7528071403503418,0.6457882523536682,0.6488800048828125,0.0869421095390549,0.0,0.0,0.5154399871826172,0.43209633231163025,0.9627383757837628,0.8757962662447079,0.8812055244701794,0.9606537052968799
