arm,arm_label,seed,learning_rule,theta_left,theta_right,theta_mid,join_rate,success_rate,welfare
visible_bottleneck,Public Only,1,ppo,1.6333333333333333,1.8,1.7166666666666668,0.0,0.0,0.0
visible_bottleneck,Public Only,2,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
visible_bottleneck,Public Only,2,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
visible_bottleneck,Public Only,2,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
visible_bottleneck,Public Only,2,ppo,0.3,0.4666666666666666,0.3833333333333333,1.0,1.0,1.0
visible_bottleneck,Public Only,2,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9995326995849609,1.0,0.9995326995849609
visible_bottleneck,Public Only,2,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9750288724899292,0.9710982441902161,0.9672832489013672
visible_bottleneck,Public Only,2,ppo,0.8,0.9666666666666666,0.8833333333333333,0.86139315366745,0.8323494791984558,0.812691867351532
visible_bottleneck,Public Only,2,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.5452023148536682,0.11907514184713364,-0.20315606892108917
visible_bottleneck,Public Only,2,ppo,1.1333333333333333,1.3,1.2166666666666668,0.1760663539171219,0.0,-0.13456159830093384
visible_bottleneck,Public Only,2,ppo,1.3,1.4666666666666666,1.3833333333333333,0.035087719559669495,0.0,-0.025906432420015335
visible_bottleneck,Public Only,2,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.00024271845177281648,0.0,-0.00018203882791567594
visible_bottleneck,Public Only,2,ppo,1.6333333333333333,1.8,1.7166666666666668,0.0,0.0,0.0
visible_bottleneck,Public Only,3,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
visible_bottleneck,Public Only,3,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
visible_bottleneck,Public Only,3,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
visible_bottleneck,Public Only,3,ppo,0.3,0.4666666666666666,0.3833333333333333,1.0,1.0,1.0
visible_bottleneck,Public Only,3,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9990718960762024,0.9988399147987366,0.9987354278564453
visible_bottleneck,Public Only,3,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9787516593933105,0.9734395742416382,0.9691102504730225
visible_bottleneck,Public Only,3,ppo,0.8,0.9666666666666666,0.8833333333333333,0.8573476672172546,0.8207885026931763,0.7939784526824951
visible_bottleneck,Public Only,3,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.5138134360313416,0.13105076551437378,-0.1555844247341156
visible_bottleneck,Public Only,3,ppo,1.1333333333333333,1.3,1.2166666666666668,0.1932203322649002,0.0,-0.14336560666561127
visible_bottleneck,Public Only,3,ppo,1.3,1.4666666666666666,1.3833333333333333,0.0327228344976902,0.0,-0.022661782801151276
visible_bottleneck,Public Only,3,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.0009184845257550478,0.0,-0.0006314580678008497
visible_bottleneck,Public Only,3,ppo,1.6333333333333333,1.8,1.7166666666666668,0.0,0.0,0.0
asymmetric_free,Private Allowed,0,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
asymmetric_free,Private Allowed,0,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
asymmetric_free,Private Allowed,0,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
asymmetric_free,Private Allowed,0,ppo,0.3,0.4666666666666666,0.3833333333333333,1.0,1.0,1.0
asymmetric_free,Private Allowed,0,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9995359778404236,1.0,0.9995359778404236
asymmetric_free,Private Allowed,0,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9796966314315796,0.9743290543556213,0.9679462909698486
asymmetric_free,Private Allowed,0,ppo,0.8,0.9666666666666666,0.8833333333333333,0.8646388053894043,0.8314321637153625,0.806831419467926
asymmetric_free,Private Allowed,0,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.49818652868270874,0.11528497189283371,-0.17648963630199432
asymmetric_free,Private Allowed,0,ppo,1.1333333333333333,1.3,1.2166666666666668,0.17033493518829346,0.0,-0.123672254383564
asymmetric_free,Private Allowed,0,ppo,1.3,1.4666666666666666,1.3833333333333333,0.02096584253013134,0.0,-0.014263840392231941
asymmetric_free,Private Allowed,0,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.000933488889131695,0.0,-0.0006301050307229161
asymmetric_free,Private Allowed,0,ppo,1.6333333333333333,1.8,1.7166666666666668,0.0,0.0,0.0
