design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,theta_star_target
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,23,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,1,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,6,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,5,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,2,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,19,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,17,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,21,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,16,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,16,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,12,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,17,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,18,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,3,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,0,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,8,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,4,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,19,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,9,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,6,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,27,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,10,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,26,0.4,0.4,10,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,25,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,28,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,24,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,22,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,5,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,15,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,0,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,8,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.025000000000000022,0.25,-0.22499999999999998,3,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5300956286716517,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,9,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.10000000000000003,0.25,-0.14999999999999997,29,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.4307402926818966,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,-0.04999999999999999,0.25,-0.3,19,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.6276025367807749,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,16,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
baseline,pure,normal,0.17500000000000004,0.25,-0.07499999999999996,14,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.3356043394342479,0.3333333333333333,1.0,mistralai/mistral-small-creative,0.25
