country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,n_agents
2,11,pure,0.0128780551014074,0.4461208763882704,-0.3255405700614793,0.8054480795001078,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9046777000471036,
2,12,pure,-0.3262343530295832,0.3226651688970861,-0.2697837083037426,0.4763746880869625,14,0.56,25,0,0,0.56,0.0,0.0,True,0.9556915780720844,
2,13,pure,0.2280940406709801,0.3707922867856226,-0.3431596911319419,0.5893002882806205,15,0.6,25,0,0,0.6,0.0,0.0,True,0.5580018608532517,
2,14,pure,-0.8250978588394176,0.450934228091333,-0.3390329613910405,0.8212754303073598,16,0.64,25,0,0,0.64,0.0,0.0,True,0.9999818727952764,
2,15,pure,0.4989038848058872,0.3497528633334769,-0.29172158101677,0.537876821921088,14,0.56,25,0,0,0.56,0.0,0.0,True,0.1885754981370099,
2,16,pure,-1.0962614667727777,0.408507791545194,-0.3422762127962213,0.6906393452119441,8,0.32,25,0,0,0.32,0.0,0.0,True,0.9999991429852262,
2,17,pure,1.6390477340577996,0.3419731549141648,-0.3464156236793608,0.51969483839152,11,0.44,25,0,0,0.44,0.0,0.0,False,1.1189227418076514e-06,
2,18,pure,-0.1837768353400256,0.436435914854538,-0.2393818526412863,0.7744210931076084,8,0.32,25,0,0,0.32,0.0,0.0,True,0.971763272467636,
2,19,pure,-1.2293319141105017,0.3847958737797212,-0.3243021799512374,0.625476744026164,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9999998186090712,
3,0,pure,0.6227198878386024,0.1365810835085792,0.0741674419498003,0.1581863460480904,6,0.24,25,0,0,0.24,0.0,0.0,False,0.0033010811780194,
3,1,pure,-1.4611806082069945,0.1777397889426446,0.0509165546809732,0.2161600264155876,5,0.2,25,0,0,0.2,0.0,0.0,True,0.9999971746558032,
3,2,pure,1.85656842610766,0.0380715989423558,0.0477142636465533,0.0395784123854706,4,0.16,25,0,0,0.16,0.0,0.0,False,2.3409999221550043e-15,
3,3,pure,0.9990980978734606,0.1044094907303024,0.0798994747898368,0.1165817297633517,8,0.32,25,0,0,0.32,0.0,0.0,False,1.1220138520085862e-05,
3,4,pure,0.1370978312967554,0.077219724653799,0.1328871092232629,0.0836815943262641,4,0.16,25,0,0,0.16,0.0,0.0,True,0.05222868610929,
3,5,pure,0.3341764973830153,0.0071772209131862,-0.0129602108453322,0.0072291058025358,3,0.12,25,0,0,0.12,0.0,0.0,False,0.000201381552597,
3,6,pure,1.607012631583919,1.0,0.13485679903755,-0.1459122816024149,8,0.32,25,0,0,0.32,0.0,0.0,False,0.0,
3,7,pure,0.930620186324557,0.0659711477120256,0.0880152435008684,0.0706307386013016,5,0.2,25,0,0,0.2,0.0,0.0,False,5.702820185245747e-06,
3,8,pure,1.5649643479829936,0.21962841886214,0.0895302308937439,0.2814408214890396,6,0.24,25,0,0,0.24,0.0,0.0,False,7.285411708650976e-08,
3,9,pure,-1.438378815496846,0.2372413865658625,0.0075846157866633,0.3110307538812838,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9999994425628532,
3,10,pure,0.2809796306451474,0.0759311430466821,0.0654634773455576,0.0821704383556755,2,0.08,25,0,0,0.08,0.0,0.0,False,0.0171520280609758,
3,11,pure,0.0599302444018031,1.0,0.117622756190566,-0.052860108861637,5,0.2,25,0,0,0.2,0.0,0.0,True,0.0,
3,12,pure,2.625407188721095,0.1618560735693996,0.129798645504471,0.1931125054603633,10,0.4,25,0,0,0.4,0.0,0.0,False,1.811611123915708e-20,
3,13,pure,-0.6293393435732257,0.0029120804133444,0.0749810278658984,0.0029205853928625,5,0.2,25,0,0,0.2,0.0,0.0,True,0.2578411081379281,
3,14,pure,-1.1711441742541762,0.1491219687225395,0.0892341385613608,0.1752565740810774,7,0.28,25,0,0,0.28,0.0,0.0,True,0.9996112465516078,
3,15,pure,-1.7305836537683288,0.0118711571459634,0.0469691950278219,0.0120137745515814,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9998051104078004,
3,16,pure,1.289248466257716,0.2668767924430872,0.068483534834412,0.3640272053758022,7,0.28,25,0,0,0.28,0.0,0.0,False,2.7865662251269728e-05,
3,17,pure,0.2533439080872754,0.2883525766501834,0.0502508691452015,0.4051902208721145,11,0.44,25,0,0,0.44,0.0,0.0,True,0.3294225107202602,
3,18,pure,1.3836501267511652,0.2076961698527156,0.0169758808895568,0.262142074731743,4,0.16,25,0,0,0.16,0.0,0.0,False,1.0991294200492507e-06,
3,19,pure,0.3398146421658116,0.1269490622533563,0.1017893529330494,0.1454085400572543,3,0.12,25,0,0,0.12,0.0,0.0,False,0.0321218990214186,
4,0,pure,-0.1912032330443757,0.3398398022197316,0.2056277370072197,0.5147838408956094,6,0.24,25,0,0,0.24,0.0,0.0,True,0.912648005661464,
4,1,pure,0.2839733571106892,0.1339864127228706,0.2503084412666769,0.1547162939373077,11,0.44,25,0,0,0.44,0.0,0.0,True,0.0539505067153369,
4,2,pure,0.6082873743407289,0.0247495116244886,0.2319145420445026,0.0253775946995056,2,0.08,25,0,0,0.08,0.0,0.0,False,4.626393691882217e-05,
4,3,pure,-0.1705659009515738,0.000288871247134,0.2368712324842895,0.0002889547178437,5,0.2,25,0,0,0.2,0.0,0.0,True,0.0020372355604635,
4,4,pure,2.3710073062198886,0.2874117574078682,0.213513427445856,0.4033349699433305,7,0.28,25,0,0,0.28,0.0,0.0,False,3.041552610293317e-14,
4,5,pure,-0.1361703863659019,0.2323058079441152,0.3803420402974743,0.3026020130776297,8,0.32,25,0,0,0.32,0.0,0.0,True,0.6903983047442288,
