design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment
flip,flip,0.5,0.5,0.0,13,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,14,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,15,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,16,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,17,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,18,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,19,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,20,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,21,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,22,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,23,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,24,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,25,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,26,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,27,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,28,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,29,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5750000000000001,0.5,0.075,0,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.4012936743170762,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
