design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,17,0.56,0.5833333333333334,14,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,22,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,14,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,16,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,15,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,19,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,21,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,26,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,20,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,23,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,0,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,18,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,27,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,7,0.6,0.625,15,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,13,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,24,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,29,0.6,0.625,15,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,25,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,28,0.56,0.5833333333333334,14,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,4,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,2,0.6,0.6818181818181818,15,25,22,0,3,0.0,0.12,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,14,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,5,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,18,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,12,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,13,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,6,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,16,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
