design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.275,0.5,-0.22499999999999998,29,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,27,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,7,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,24,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,8,0.24,0.25,6,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,20,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,17,0.24,0.25,6,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,0,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,1,0.16,0.2,4,25,20,0,5,0.0,0.2,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,3,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,12,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,14,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,4,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,25,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,23,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,26,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,8,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,7,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,28,0.24,0.25,6,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,9,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,10,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,15,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,12,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,11,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,14,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,19,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,13,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,2,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,6,0.24,0.25,6,25,24,0,1,0.0,0.04,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,5,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
